Categoria,Tipu,Producte,Imatge,Alergens
Congelados,"Helados, postres y nata",mini conos de helado sabor chocolate 6 unidades,00118953905785____3__600x600.jpg,"['leche', 'trigo', 'Leche', 'Puede contener huevo, soja, frutos secos y cacahuetes.']"
Congelados,"Helados, postres y nata",conos de helado sabor a nata y fresa 6 unidades,00118953906437____1__600x600.jpg,"['leche', 'soja', 'trigo']"
Congelados,"Helados, postres y nata",conos de helado sabor a vainilla sin azúcares añadidos 6 unidades,00118953906445____1__600x600.jpg,"['almendra', 'leche', 'soja', 'trigo']"
Congelados,"Helados, postres y nata",conos de helado sabor chocolate 6 unidades,00118953906486____1__600x600.jpg,"['almendra', 'Leche', 'soja', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",conos de helado sabor nata y chocolate 6 unidades,00118953906429____1__600x600.jpg,"['avellanas', 'soja', 'avellana', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",miniconos de helados sabor nata y chocolate,00118953906999____1__600x600.jpg,"['almendra', 'Leche', 'soja', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",mini conos de helado sin azúcares añadidos sabor vainilla y chocolate 6 unidades,00118953905637____3__600x600.jpg,"['Leche', 'frutos secos', 'soja', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Extreme mini conos de helado de avellana y chocolate y doble chocolate 6 unidades,00118953907393____7__600x600.jpg,"['Leche', 'Soja', 'frutos secos', 'soja', 'huevo', 'avellana', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",cono de helado de tres chocolates con espirales de chocolate 4 unidades,00118953907351____1__600x600.jpg,"['Leche', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",cono de helado doble vainilla 4 unidades,00118953907369____1__600x600.jpg,"['almendra', 'Leche', 'frutos secos', 'soja', 'trigo']"
Congelados,"Helados, postres y nata",Chocolate Absolut cono con helado de chocolate y láminas de chocolate negro 4 unidades,00118953904127____3__600x600.jpg,"['láctea', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",nata y frutos rojos con espiral de sirope 4 unidades,00118953905736____3__600x600.jpg,"['Leche', 'láctea', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Mini cono de helado de chocolate 6 unidades,00118953906254____3__600x600.jpg,"['láctea', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",Mini conos de helado de frutos del bosque y chocolate 6 unidades,00118953906270____3__600x600.jpg,"['láctea', 'frutos secos', 'soja', 'huevo', 'leche', 'trigo']"
Congelados,"Helados, postres y nata",conos de helado de chocolate y vainilla 4 uds,00118953904721____2__600x600.jpg,"['Leche', 'avellanas', 'nata', 'soja', 'cacahuete', 'huevo', 'lácteo', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",mini conos de helado de vainilla y chocolate 8 unidades,00118953904739____1__600x600.jpg,"['avellanas', 'nata', 'soja', 'cacahuete', 'huevo', 'leche', 'trigo', 'frutos de cáscara']"
Congelados,"Helados, postres y nata",conos de helado de chocolate y nata con trozos de galleta 4 unidades,00118953905512____2__600x600.jpg,"['Leche', 'soja', 'cacahuete', 'huevo', 'leche', 'trigo', 'frutos de cáscara']"
